GEOID,Median_Housing_Price_2021
1400000US06037294120,463000
1400000US06037294200,484000
1400000US06037294301,501800
1400000US06037294302,424900
1400000US06037294410,374600
1400000US06037294421,410200
1400000US06037294510,542800
1400000US06037294520,499500
1400000US06037294610,478700
1400000US06037294620,415200
1400000US06037294701,466700
1400000US06037294810,505000
1400000US06037294820,354500
1400000US06037294830,449300
1400000US06037294900,443500
1400000US06037295103,627300
1400000US06037296210,566300
1400000US06037296220,380600
1400000US06037296300,561300
1400000US06037296401,646900
1400000US06037296402,634700
1400000US06037296500,541300
1400000US06037296600,598800
1400000US06037296901,710100
1400000US06037296902,605300
1400000US06037297001,821700
1400000US06037297002,811900
1400000US06037297110,590600
1400000US06037297120,619800
1400000US06037297201,536700
1400000US06037297202,683700
1400000US06037297300,752200
1400000US06037297400,828700
1400000US06037297501,757000
1400000US06037297502,646000
1400000US06037297601,757400
1400000US06037297602,636000
1400000US06037300100,1091500
1400000US06037300200,901800
1400000US06037300301,854500
1400000US06037300400,758800
1400000US06037300501,739900
1400000US06037300503,738600
1400000US06037300601,568500
1400000US06037300602,921000
1400000US06037300701,1191300
1400000US06037300702,1167300
1400000US06037300800,948000
1400000US06037300901,1165500
1400000US06037300902,1068900
1400000US06037301000,973700
1400000US06037301100,921200
1400000US06037301203,581800
1400000US06037301204,570000
1400000US06037301205,908300
1400000US06037301206,881600
1400000US06037301300,1361100
1400000US06037301400,1099000
1400000US06037301501,907800
1400000US06037301502,631300
1400000US06037301601,804700
1400000US06037301602,795700
1400000US06037301701,745700
1400000US06037301702,622500
1400000US06037301801,547700
1400000US06037301802,569500
1400000US06037301901,583300
1400000US06037301902,733700
1400000US06037302002,557000
1400000US06037302003,547700
1400000US06037302004,482900
1400000US06037302102,801600
1400000US06037302103,852800
1400000US06037302104,674100
1400000US06037302201,589300
1400000US06037302202,533300
